图片,商家编码,店铺,品牌,分类,货品编号,货品名称,货品简称,规格码,规格名称,均价,零售价,批发价,会员价,市场价,最低价,ERP价格,自定义价格2,折扣率,发货总量,发货赠品总量,退货总量,批次,批次发货量,实际销售量,邮资收入,发货总金额,未知成本销售总额,佣金成本,货品总成本,货品总利润,退货总金额,退货总成本,发货总金额-发货后实际退款金额,实际货品总成本,实际货品总利润,毛利率%,发货后实际退款金额,发货总金额-退货总金额,单品支付总额,sku_full_id,is_zero_sales
https://img.alicdn.com/bao/uploaded/i3/2139477295/O1CN01zhDzRd23l9u9dGbMU_!!2139477295.jpg,H70LA,TMT运动户外旗舰店,TMT,护踝,H70,H70护踝,H70,LA,L,83.45,200,0,0,0,0,22,0,0.4173,2,0,0,,,2,0,166.9,0,0,34,132.9,0,0,166.9,34,132.9,79.6295,0,166.9,166.9,H70-LA,否
https://img.alicdn.com/bao/uploaded/i3/2139477295/O1CN01zhDzRd23l9u9dGbMU_!!2139477295.jpg,H70MA,TMT运动户外旗舰店,TMT,护踝,H70,H70护踝,H70,MA,M,72.7,200,0,0,0,0,22,0,0.3635,4,0,3,,,1,0,290.8,0,0,68.04,222.76,220.5,51.03,290.8,17.01,53.29,75.8054,0,70.3,290.8,H70-MA,否
https://img.alicdn.com/bao/uploaded/i3/2139477295/O1CN01zhDzRd23l9u9dGbMU_!!2139477295.jpg,H70XLA,TMT运动户外旗舰店,TMT,护踝,H70,H70护踝,H70,XLA,XL,72.03,200,0,0,0,0,22,0,0.3601,4,0,1,,,3,0,288.1,0,0,68.02,220.08,79.9,17.01,288.1,51.02,157.18,75.497,0,208.2,288.1,H70-XLA,否
https://img.alicdn.com/bao/uploaded/i4/2139477295/O1CN01x4xDOi23l9oVf1BsG_!!2139477295.jpg,BF37LZA,TMT运动户外旗舰店,TMT,护手肘,BF37,BF37护肘,BF37,BF37LZA,L左,23.31,100,0,0,0,0,14.8,0,0.2331,12,0,0,,,12,0,279.75,0,0,108,171.75,0,0,279.75,108,171.75,61.3941,0,279.75,279.75,BF37-BF37LZA,否
https://img.alicdn.com/bao/uploaded/i4/2139477295/O1CN01x4xDOi23l9oVf1BsG_!!2139477295.jpg,BF37LYA,TMT运动户外旗舰店,TMT,护手肘,BF37,BF37护肘,BF37,BF37LYA,L右,23.31,100,0,0,0,0,14.8,0,0.2331,12,0,0,,,12,0,279.75,0,0,108,171.75,0,0,279.75,108,171.75,61.3941,0,279.75,279.75,BF37-BF37LYA,否
https://img.alicdn.com/bao/uploaded/i4/1790737720/O1CN01sWvrts26toAOcMSes_!!1790737720.jpg,J23heiA,TMT运动户外旗舰店,TMT,杠铃套,J23,J23杠铃套,J23,J23heiA,黑色,37,50,0,0,0,0,22,0,0.7400,21,0,2,,,19,0,777,0,0,357,420,70,34,777,323,384,54.314,0,707,777,J23-J23heiA,否
https://img.alicdn.com/bao/uploaded/i2/2139477295/O1CN01PuU57x23l9qxAIO2H_!!2139477295.jpg,Y009heiseA,TMT运动户外旗舰店,TMT,暴汗护腰,Y009,Y009彩色护腰,Y009,Y009heiseA,黑色,30.68,100,0,0,0,0,3.5,0,0.3068,14,0,1,,,13,0,429.47,0,0,47.6,381.87,68.9,3.4,429.47,44.2,316.37,87.7416,0,360.57,429.47,Y009-Y009heiseA,否
https://img.alicdn.com/bao/uploaded/i1/2139477295/O1CN01WIfFf923l9po6anH2_!!0-item_pic.jpg,YS29wkS-29A,TMT运动户外旗舰店,TMT,束腰带,YS29,YS29束腰带,YS29,wkS-29cm,黑色S-29cm,33,100,0,0,0,0,57,0,0.3300,2,0,0,,,2,0,65.99,0,0,0,65.99,0,0,65.99,0,65.99,100,0,65.99,65.99,YS29-wkS-29cm,否
https://img.alicdn.com/bao/uploaded/i3/2139477295/O1CN01iJ8Wrg23l9uh3ZAiq_!!2139477295.jpg,YF65XLA,TMT运动户外旗舰店,TMT,运动护腰,YF65,YF65护腰,YF65,XLA,XL,37.02,100,0,0,0,0,28.5,0,0.3702,6,0,1,,,5,0,222.1,0,0,120,102.1,46.4,20,222.1,100,75.7,43.0848,0,175.7,222.1,YF65-XLA,否
https://img.alicdn.com/bao/uploaded/i3/2139477295/O1CN01iJ8Wrg23l9uh3ZAiq_!!2139477295.jpg,YF65LA,TMT运动户外旗舰店,TMT,运动护腰,YF65,YF65护腰,YF65,LA,L,60.82,100,0,0,0,0,28.5,0,0.6082,9,0,5,,,4,0,547.4,0,0,180,367.4,322.1,100,547.4,80,145.3,64.4916,0,225.3,547.4,YF65-LA,否
https://img.alicdn.com/bao/uploaded/i3/2139477295/O1CN01iJ8Wrg23l9uh3ZAiq_!!2139477295.jpg,YF65XXLA,TMT运动户外旗舰店,TMT,运动护腰,YF65,YF65护腰,YF65,XXLA,XXL,55.34,100,0,0,0,0,28.5,0,0.5534,7,0,1,,,6,0,387.4,0,0,139.9,247.51,52.8,20,387.4,119.9,214.71,64.1677,0,334.6,387.4,YF65-XXLA,否
https://img.alicdn.com/bao/uploaded/i4/3576494524/O1CN01vE9stj1jI2HapwFQd_!!0-item_pic.jpg,OW18huiSA,TMT运动户外旗舰店,TMT,手套,W18,W18飞盘手套,W18,huiSA,灰S,61.4,80,0,0,0,0,21.6,0,0.7675,2,0,0,,,2,0,122.8,0,0,36,86.8,0,0,122.8,36,86.8,70.684,0,122.8,122.8,W18-huiSA,否
https://img.alicdn.com/bao/uploaded/i4/1790737720/O1CN01yxP0Xa26toEDwqnjK_!!1790737720.jpg,Y76KheihongXLA,TMT运动户外旗舰店,TMT,健身护腰,Y76K,Y76K护腰,Y76K,heihongXLA,黑红XL,62.77,100,0,0,0,0,34.67,0,0.6277,3,0,1,,,2,0,188.3,0,0,16.83,171.47,59,5.61,188.3,11.22,118.08,91.3213,0,129.3,188.3,Y76K-heihongXLA,否
https://img.alicdn.com/bao/uploaded/i1/1790737720/O1CN01ARNAkN26toEjAARuX_!!1790737720.jpg,ZB22,TMT运动户外旗舰店,TMT,赠品,ZB22,ZB22赠品,ZB22,,,66.76,100,0,0,0,0,0.072,0,0.6676,149,0,1,,,148,0,9947.6,0,0,0,9947.6,68.9,0,9947.6,0,9878.7,100,0,9878.7,9947.6,ZB22,否
https://img.alicdn.com/bao/uploaded/i2/2139477295/O1CN01g68Bfw23l9u0qZI5w_!!2139477295.jpg,BF29HEIA,TMT运动户外旗舰店,TMT,护腕,BF29,BF29护腕,BF29,HEIA,黑色,14.79,100,0,0,0,0,5.62,0,0.1479,78,0,2,,,76,0,1153.6,0,0,257.4,896.2,39.2,6.6,1153.6,250.8,863.6,77.4946,0,1114.4,1153.6,BF29-HEIA,否
https://img.alicdn.com/bao/uploaded/i1/2260266378/TB2HOUjchPI8KJjSspfXXcCFXXa_!!2260266378.jpg,B29fuseSA,TMT运动户外旗舰店,TMT,护腕,B29,B29针织护腕,B29,fuseSA,肤色S,18.7,100,0,0,0,0,4.2,0,0.1870,2,0,0,,,2,0,37.4,0,0,0.03,37.37,0,0,37.4,0.03,37.37,99.9128,0,37.4,37.4,B29-fuseSA,否
https://img.alicdn.com/bao/uploaded/i4/2139477295/TB2hzglgwvD8KJjSsplXXaIEFXa_!!2139477295.jpg,B29baiWLA,TMT运动户外旗舰店,TMT,护腕,B29,B29针织护腕,B29,baiWLA,白色外标L,19.9,100,0,0,0,0,4.2,0,0.1990,1,0,0,,,1,0,19.9,0,0,0.01,19.89,0,0,19.9,0.01,19.89,99.9357,0,19.9,19.9,B29-baiWLA,否
